,Text,emotion
6939,"I told my tribe, and I guessI'll tell all of you.",neutral
6940,Zack is like every type of whiteguy that I have a crush on.,surprise
6941,"- So, there goes that.",Neutral
6942,- Really?- Yeah.,Surprise
6943,So a blossoming love affairis over?,sadness
6944,"No, not on Survivor, though.",Neutral
6945,"If we met, like,on a tribe swap,",surprise
6946,"connected after,and then after this is over...",Neutral
6947,"So I just wantto take this moment,",happiness
6948,"Maryanne,to show how beautiful this is.",surprise
6949,"In the midstof a very difficult game,",Fear
6950,you still had a little hopefor love.,sadness
6951,"You know, um, I have",neutral
6952,"an 100% rejection rate withall the guys I've liked, so...",sadness
6953,"Aw.- I was, like, you know, I focus",neutral
6954,"on the game now, buta little part of me was like...",fear
6955,"Well, I will just say,as somebody who loves love,",happiness
6956,keep hope alive.,happiness
6957,"Just becauseyou've been rejected 100%,",sadness
6958,it meansthey aren't the right people.,anger
6959,That's all that means.,neutral
6960,"All right, shall we getto today's immunity challenge?",Surprise
6961,"- All right, first things first.",Neutral
6962,Got to take back the idols.,anger
6963,- Thank you.- Yes.,neutral
6964,Thank you. Oh.,Surprise
6965,"- Oh, all right.",Neutral
6966,- Duly noted.,Neutral
6967,"Once again, immunity isback up for grabs.",surprise
6968,"For today's challenge,",Neutral
6969,one person will be your caller.,neutral
6970,The rest of the tribe will be blindfolded.,fear
6971,"Using only verbal commands,",Please provide a sentence for me to analyze the emotion.
6972,the caller will instruct the blindfolded pairs,fear
6973,to collect three bags of puzzle pieces.,neutral
6974,"Once you have all the bags,",neutral
6975,the caller will then instruct,neutral
6976,a still blindfolded pair to solve the puzzle.,surprise
6977,The first two tribes to finish,surprise
6978,"win immunity,safe from the vote.",happiness
6979,"In addition,playing for a reward.",Surprise
6980,- Thank God.- Want to knowwhat you're playing for?,Surprise
6981,Yes!,happiness
6982,"- Please, Jeff.- First tribe to finish,",surprise
6983,- a massive set of fishing gear.- Wow.,surprise
6984,"Second tribe to finish,",surprise
6985,a smaller but stillvery effective and useful,neutral
6986,- set of fishing gear.- Nice.,Happiness
6987,"Last tribe to finish,Tribal Council,",fear
6988,where somebody will be the thirdperson voted out of this game.,Sadness
6989,"And in addition,as a penalty for losing,",Anger
6990,you'll sacrifice your flint.,anger
6991,"Ika, I still have yours.",Neutral
6992,You are playingto get yours back.,anger
6993,"Vati, you have one extra person.You're gonna sit somebody out.",Anger
6994,"- Who's it gonna be?- Me, Jeff.",Neutral
6995,Daniel gonna sit this one out.,Neutral
6996,"Everybody else,give you a minute to strategize.",neutral
6997,- We'll get started. Here we go.Yeah.,Neutral
6998,"All right, we have our callers.",neutral
6999,"For Ika, Drea.",Neutral
7000,"Vati, Lydia.",Neutral
7001,"Taku, Jonathan.",Neutral
7002,"Here we go,for immunity and reward,",Neutral
7003,survivors ready.,surprise
7004,- Go.Go straight. Tori.,surprise
7005,"- Tori. Tori...Hey, Mike, Mike, Mike...",Neutral
7006,Caller is the tough job...,Sadness
7007,Straight. Straight.You're gonna hit a barrel.,Fear
7008,-...because they're responsiblefor directing everybody.,Neutral
7009,"Turn your body, Chanelle.",Neutral
7010,Which way?,surprise
7011,- We got three callers...Stop.,Surprise
7012,- Stop where you are.-...trying to talkover each other.,Anger
7013,"Lydia, we cannot hear you.",anger
7014,I'm talking.,neutral
7015,"- The players are talking.- Right. Right, right, right...",Neutral
7016,Straight ahead. Keep going.,Neutral
7017,"- You're there. You're there.Yeah, go straight!Keep going, keep going!",Surprise
7018,That's your key!Don't go past that!,Anger
7019,"- Chanelle spinning for Vati.Stop, lean forward!",Surprise
7020,"Jenny, keep up, keep up.Keep up.",Surprise
7021,"Omar slowly being spunfor Taku.Romeo, stop!",Fear
7022,More left!,Surprise
7023,"Jonathan, trying to get aholdof his tribe",Neutral
7024,"- by yelling.- Hey, Lindsay!",anger
7025,Lindsay and Maryanne stuck.,Neutral
7026,"- They don't knowwhere they're going.No, you're good!",Surprise
7027,You've got to get your puzzlepieces and you got to get back.,neutral
7028,Yes! Go under! Go under!,Happiness
7029,Vati is in the sawdust now.,sadness
7030,- Mike untying.,Surprise
7031,"- Is this blue?- Down, Tori!",Surprise
7032,Down. Pull it down.,anger
7033,Ika's now through.,surprise
7034,Now they've gotto find that post.,surprise
7035,- I got it. Go.- Stop. Okay.,Neutral
7036,You're there! Dig the hole!,Anger
7037,Nothing is easywhen you're blindfolded.,Sadness
7038,"Swati, reach to your left!",Surprise
7039,Tori's got the post for Ika now.,Neutral
7040,"Forward, Romeo!Orange and blue,",neutral
7041,holding handswith the wrong tribe member.,disgust
7042,Not sure where they're going.,Surprise
7043,Chanelle and Jennytrying to find their way back.,neutral
7044,"Both of y'all bitches,come here!",Anger
7045,Vati back with the first bag.,surprise
7046,"And just like that,Vati back with the second bag.",surprise
7047,Go straight.,Neutral
7048,Lydia doing a great jobfor Vati.,happiness
7049,They are in the early lead.,happiness
7050,Ika coming backwith their first bag.,Surprise
7051,It's Tori and Swati.,neutral
7052,You're good.Drea with a nice job.,Happiness
7053,Right here!,Surprise
7054,- Can you hear me?!Yes.,Surprise
7055,Omar and Marya backwith the first bag for Taku.,Neutral
7056,Drop it there!,Neutral
7057,Rocksroy and Romeo,Neutral
7058,"- working together.Go, go, go.",Neutral
7059,Keep going around.Turn me around. Turn me around.,Surprise
7060,"Hey, Lindsay! Straight ahead!",Surprise
7061,"- Oh.- Okay, we're almost there.",Neutral
7062,"- Yeah, girl!Go.",happiness
7063,Maryanne and Lindsay,neutral
7064,untying the spool for Taku.,neutral
7065,Turn me around. Turn me around.,Anger
7066,"Shimmy, shimmy, shimmy.",Surprise
7067,Shimmy. Stop!,Anger
7068,"Go forward, Tori!",happiness
7069,Go to the other side!Chanelle and Jennynow are getting,surprise
7070,all tangled in that rope.,fear
7071,You got to bebehind the hitching post.,Anger
7072,And that's gonna bea problem now for Vati.,Fear
7073,They were doing a great job.,happiness
7074,- Okay. Okay.- Pull.,Surprise
7075,It's now Tori and Swatinow on the spool.,Surprise
7076,- Omar's untying.Got it.,Neutral
7077,Rocksroy heading backwith a second bag.,surprise
7078,"Boys, stop on that.Put it down. Stay there.",anger
7079,- Grab this.- Now it's Lindsay and Maryannewho are tied up.,fear
7080,- They're all tangledin the rope.- I went under.,Fear
7081,Everybody getting tangledexcept for Swati and Tori.,Surprise
7082,"Hell yeah, baby.",Happiness
7083,Right here! Straight!,Surprise
7084,Taku heading backwith a second bag.,Neutral
7085,We are neck and neck.,Surprise
7086,It's gonna come downto the spooling right now.,Neutral
7087,You okay?,concern
7088,Who can manage their ropeswithout getting all tangled?,Surprise
7089,Drop the puzzle pieces.,Surprise
7090,"- Yeah, yeah.Lindsay and Maryanne",Neutral
7091,have the bag for Taku.,neutral
7092,They're heading back.,Neutral
7093,There you go. Hey.- That's gonna leave a big mark.,Surprise
7094,"- There you go. Let's go,let's go, let's go.You okay?",happiness
7095,And another big obstacle.,fear
7096,- All right.- Shizzlesticks.,Surprise
7097,"- You got it?- Yeah, let's go.",Neutral
7098,Tori and Swaticoming back with their bag.,Neutral
7099,"Left, Tori!",Surprise
7100,Go underneath!,Surprise
7101,It's Taku and Ika right now.,Neutral
7102,Drop down! Drop down!,Fear
7103,Vati is all tangled up.- Lydia!,Surprise
7104,I can't see!,Fear
7105,Still struggling tofigure out what is happening.,Confusion
7106,Now Taku heading backwith their third and final bag.,Neutral
7107,Ow!,Pain
7108,Ika right behind them.,surprise
7109,We got a challenge on day fiveof Survivor 42.,surprise
7110,I got it. I got it.,Happiness
7111,Jenny finally has found the bag.,happiness
7112,Now she's got to get it untied.,Neutral
7113,They got to get back.It is Vati now in dead last.,Surprise
7114,Taku has all three bags.You can start heading out.,Neutral
7115,Everyone hold hands.,Happiness
7116,Ika's back. You're good.,happiness
7117,"Yes, no hesitation.Just roll with me, baby.",Happiness
7118,Jonathan leading Taku out.Everybody holding hands.,happiness
7119,Here comes Jenny and Chanelle.Not giving up.,Happiness
7120,Go straight to the sawdust!,Anger
7121,I got you.,Neutral
7122,"Ika's going through,Taku's going through,",Neutral
7123,while Vati is heading back.,neutral
7124,"You got to getall your bags back,",Neutral
7125,then you got to come back out.,Neutral
7126,Follow me. Come on.,Neutral
7127,A big hit.,Surprise
7128,- Rocksroy goes hard.,anger
7129,He's gonna feel that onefor a few days.,surprise
7130,Vati is back.,Happiness
7131,Now Lydia canlead her tribe out.,happiness
7132,Follow me.Get in a line. Get in a line.,anger
7133,"All right, we're here.We're here.What?",Surprise
7134,"Omar, give me your hand.",Surprise
7135,Jonathan's still the caller.,Neutral
7136,Drea's still the caller.,neutral
7137,"- Vati quickly tryingto get back into this.- Let's go, guys, let's go.",Neutral
7138,Huge comeback for Vati.,happiness
7139,Got to get all the pieces outon the table,Neutral
7140,and then solve it.Immunity on the line.,fear
7141,"- Somebody is going home tonight.Guys, everyoneget in a line.",surprise
7142,Somebody's dreamof winning Survivor,happiness
7143,is hours away from ending.,sadness
7144,Take that one...This is the center.,Anger
7145,- I want you to drop it...The only way to makesure it's not you,anger
7146,is you got to win.,anger
7147,"No, here. Go here.",Anger
7148,- Right here. Go right...,Neutral
7149,Got all three tribes nowon the puzzle.,Surprise
7150,Different strategies abouthow you lead at this point.,neutral
7151,"No, that's not the pieceyou just put down. To your left.",Anger
7152,Put those kind of to the side.,Neutral
7153,You just have to connect,Neutral
7154,with the two peoplewho are solving the puzzle.,neutral
7155,This is aboutcommunication styles.,neutral
7156,"Hey, no, no, no, no, no. Listen.",Neutral
7157,Don't freak out.,fear
7158,I'm-I'm good.,Sadness
7159,"Jenny,you have to place it there.",Neutral
7160,Jenny trying to placeanother piece for Vati.,Neutral
7161,"Yes, that goes right there.That goes right there.",neutral
7162,Now fit this other piece around.,Neutral
7163,Drea now lookingfor that next level.,Surprise
7164,They've gotthe outer edge built.,Neutral
7165,It's a pizza.,Happiness
7166,"Taku's takinga different strategy,",Neutral
7167,building from the bottom up.,neutral
7168,Every piece mattersand every piece counts.,Neutral
7169,"- Little bit more, little bitmore, little bit more. Yes!Yeah. No. Other...",Surprise
7170,Keep it there.Huge stakes.,Fear
7171,You just don't want to be last.,anger
7172,Fit that bitch in.,Anger
7173,Move the one on top.That's it...,Neutral
7174,Another piece for Ika.,Neutral
7175,"Yes, okay, now...",Surprise
7176,Another piece for Taku.,Neutral
7177,"There, keep going. Keep going...",Neutral
7178,- Yes.,Neutral
7179,This is gonna come downto a few seconds.,fear
7180,- Right there.All three tribesare very close.,Neutral
7181,"No, push that, and put thatmiddle piece in with the notch.",Neutral
7182,"With the notch. Oh, my God.You've got one piece left.",Surprise
7183,- In the middle.Put it in the middle.- Move straight.,Neutral
7184,Vati with one piece left.,Sadness
7185,Put it right there.Put it right there. Yes.,Surprise
7186,- Jeff! Jeff!- Vati thinks they have it.They do!,surprise
7187,- Yes! Yes!Put it in the middle.,Happiness
7188,"Yeah, baby!",Happiness
7189,- We're looking for one more!Sorry.,Neutral
7190,Taku with two.,Surprise
7191,Ika down to two pieces.,Sadness
7192,- It's gonna be a race.We got it?We won.,happiness
7193,"- We won. That's it. That's it.Come on, guys.",Happiness
7194,One piece left.That's it. To the right.Put it there. Jeff!,surprise
7195,"Marya, can you grab that piece?Yes, that's it. Yeah, right...",Neutral
7196,Right there.Jeff! Jeff! Jeff!,Surprise
7197,Ika's done it!,happiness
7198,Ika wins immunity!,joy
7199,Safe from Tribal Council.,Surprise
7200,"Sending Taku to Tribal Council,",Anger
7201,where the third personwill be voted out of this game.,surprise
7202,"Wow, that was a finish.",surprise
7203,- Yeah!,happiness
7204,"Oh, my God.",Surprise
7205,"Vati, congratulations.Immunity is yours.",happiness
7206,"Lydia, you put yourself in abig-time role and you delivered.",happiness
7207,Fishing gear will be waitingfor you back at camp.,Neutral
7208,No Tribal Council tonight.,Surprise
7209,- Ika.,Neutral
7210,- I know this feels good.,happiness
7211,"Yes. Get it, get it, girl.Get it, girl.",Happiness
7212,"Drea gonna take it.- Yes, ma'am.",Surprise
7213,"Your fishing gear will bewaiting for you back at camp,",Neutral
7214,as well as your flint.,neutral
7215,- You get that back.- Thank you.,Happiness
7216,"Ika, Vati, grab your stuff,head back to camp.",Neutral
7217,Enjoy the night off.,happiness
7218,Well done.,happiness
7219,"All right, Taku,Tribal Council tonight.",Fear
7220,Somebody will be the thirdperson voted out of this game.,Fear
7221,"Before you go,I'll take your flint.",anger
7222,Sorry for you.,Sadness
7223,"All right, Taku,grab your stuff.",Neutral
7224,Head back to camp.See you tonight at Tribal.,Surprise
7225,"Tonight's Tribal,",surprise
7226,it's like going onthe worst first date ever.,anger
7227,"You show up with the person you like,",Happiness
7228,"and then, in the end, they leave and you never see them again.",sadness
7229,"And hopefully, after Tribal Council,",neutral
7230,my heart isn't broken.,sadness
7231,Do you think I'm in trouble tonight?,fear
7232,Not at all.,Neutral
7233,"'Cause to me it's not evena question about you,",neutral
7234,- because...- And I got your back.,Happiness
7235,- If anybody mentions you...- Yeah.,Neutral
7236,- Same. Same.-...I'm gonna come tell you.,Neutral
7237,- I think we have two options.- Yeah.,neutral
7238,Marya or Maryanne.,Neutral
7239,"I think, long-term,",neutral
7240,-Maryanne's a bit less trustworthy than Marya... - Yes.,Neutral
7241,"But in the short-term,who's gonna help us more?",surprise
7242,Man.,Neutral
7243,This is not an easy task.,sadness
7244,"Marya is so wise,",happiness
7245,"and she's a mom, you know?",happiness
7246,She's got it more put together.,Neutral
7247,"Maryanne's still gettingeverything figured out,",neutral
7248,"but I love Maryanne, like, I connect with her.",happiness
7249,- We need to workto make Marya feel safe.- Yes.,Fear
7250,She doesn't playher Shot in the Dark.,anger
7251,- Right.- And then make surethat Maryanne,neutral
7252,also doesn't playher Shot in the Dark.,anger
7253,"When you play the Shot in the Dark correctly,",surprise
7254,you get immunity.,happiness
7255,So... whew.,surprise
7256,"You have to look at both ofthese women in the eyes and go,",anger
7257,"""I am not goingto vote you out.""",anger
7258,I'm not voting for you.,anger
7259,- I know.- Look at me. Look at me.I'm serious.,Anger
7260,"No, I know. I know.",Neutral
7261,"No matter what, we have to bold-faced lie.",anger
7262,"And right now, one of those two",surprise
7263,are gonna get their hearts broken.,sadness
7264,"So, what's the story?",neutral
7265,"So, my gut is Maryanne.",Neutral
7266,That was what I was thinking.,Neutral
7267,"Yeah, I don't knowif I can do that for 26 days.",fear
7268,Yes. That's a little much.,Neutral
7269,"Like, I know in my gutit's gonna be",Fear
7270,my namethat's written down by her.,Neutral
7271,"So I know,I'm-I'm sure she's thinking",Neutral
7272,"it's either me or Marya, right?",surprise
7273,"- Right.- Like, and that--Like, it's period.",Neutral
7274,"I believe she would vote me,",neutral
7275,so I think that you guysshould tell her,neutral
7276,- that's what you're doing.- Yeah. Okay.,Neutral
7277,"We all, on the surface, seem to be",neutral
7278,"in sync with who it should be, but...",neutral
7279,I could be a huge fool.,sadness
7280,"Like, maybe they'rehiding something.",Suspicion
7281,There is something more there.,surprise
7282,"So I'm bringing my Shot in the Dark to Tribal,",excitement
7283,no question.,neutral
7284,Dang it.,Anger
7285,"Dang. Five days,and my name's gonna be put down.",Sadness
7286,"Well, not-not by your people.",Surprise
7287,"I know, not by...",sadness
7288,"But, like, dang it, you know?",anger
7289,I'm terrified.,fear
7290,"Plus, there's a chanceI have no power at all.",fear
7291,"On day two, I risk my voteto either A] get an extra vote,",neutral
7292,or B] lose my voteat this Tribal Council.,anger
7293,Mm-hmm.,Neutral
7294,"And, like, that's, like,my task for today.",Neutral
7295,"Literally, my life isn't even in my hand.",Sadness
7296,Dang it.,Anger
7297,And they can just kick me in the dirt.,Sadness
7298,So what do nervous people do?,fear
7299,They look for idols.,Neutral
7300,This is so nasty.,disgust
7301,Do you thinksometimes her being emotional,neutral
7302,"can turn into paranoiaat the same time, or no?",fear
7303,I don't know.,Neutral
7304,"I was looking around forthose flowers that you found,",neutral
7305,but I couldn't see 'em.,sadness
7306,"Okay, clearly she's looking for an idol.",surprise
7307,She cannot control herself.,Anger
7308,Okay. No problem.,Neutral
7309,I feel like Maryanne does get flustered under pressure.,fear
7310,"Like, one of the things that I look for in an alliance",Neutral
7311,"is they don't panic and, like,burn to the ground",fear
7312,and take me down with them.,fear
7313,- How do you feel?- I think we're gonna need,Surprise
7314,"four people to go forwardthat are going to,",neutral
7315,"like, kill itwith social and hustle.",anger
7316,Yeah.,neutral
7317,But I do think...,neutral
7318,- Who?- Marya.,Surprise.
7319,Yeah.,Neutral
7320,It would be so difficult to see Marya go,sadness
7321,"when we've connected so strongly,",happiness
7322,"because she's lost her brother,",sadness
7323,and she's seeking closure out here.,sadness
7324,"So my heart is literally breaking,",sadness
7325,because she may be going home tonight.,fear
7326,"Are you worried enough to, like,play your Shot in the Dark?",fear
7327,I'm gonna go with my gut.,surprise
7328,I actually trust her more than Maryanne.,neutral
7329,She's a ball of energy. She's a wild card.,Surprise
7330,"Maybe she can, um, have, like,a great romance at Ponderosa.",happiness
7331,"But Maryanne brings life to the camp,",happiness
7332,and she has the hustlethat we need,happiness
7333,to battle two other tribes.,anger
7334,"Because now Taku's down to four people, after tonight.",sadness
7335,"Up until now, we have been a family,",Neutral
7336,but the sun's gonna set,sadness
7337,and someone's dreamis gonna get crushed.,sadness
7338,Behind each of you is a torch.Go ahead and grab a torch.,Surprise
7339,"Approach the flame,dip it in, and get fire.",Surprise
7340,"This is part ofthe ritual of Tribal Council,",neutral
7341,"because in this game,fire represents your life,",anger
7342,"and when your fire is gone,so are you.",sadness
7343,"It's fun to say, not funwhen you think about it.",confusion
7344,No. Not at all.,Anger
7345,Mm-mm.,neutral
7346,"Omar, as much excitementas I saw,",happiness
7347,"even on your facewhen you walked in here,",neutral
7348,this is where death happens.,fear
7349,"Yeah, I mean,as a fan of the show,",neutral
7350,"coming to Tribal Council,it's unbelievable.",surprise
7351,"But on the other hand,there's the horrible side",disgust
7352,that we have to cuta family member loose tonight.,sadness
7353,And this truly is a family,happiness
7354,after five days.,neutral
7355,Absolutely.,Neutral
7356,"I mean, we've shareda lot together in five days.",happiness
7357,"Like, I know their stories.",Neutral
7358,"Omar, that's really interesting",Surprise
7359,because the bookendto coming out here,neutral
7360,and feeling likeyou can bond with people,happiness
7361,is that now you feelsome level of moral obligation,neutral
7362,to be a little more honestthan you might want to be.,sadness
7363,- Yeah.But you can't betoo honest.,Neutral
7364,"Yeah, like, you don't wantto lie to their face,",anger
7365,but at the same it's likeDarwin's theory of evolution.,neutral
7366,"Like, there's a selectionpressure on us now,",fear
7367,"especially withthe Shot in the Dark,",surprise
7368,"where everybody has to thinkthat they're safe,",neutral
7369,but not everybody'sgoing to be safe.,fear
7370,"Jonathan,if it's a natural selection,",Neutral
7371,"or if it'ssurvival of the fittest,",fear
7372,"you're basically saying,",anger
7373,how do I make sureI don't come back here?,fear
7374,By keeping the peoplewho are with me,neutral
7375,strong enough to win challenges.,surprise
7376,- That's really it.Right.,Neutral
7377,"Yeah, and, like,strength in this game",Neutral
7378,comes in all different shapesand forms.,neutral
7379,"You know,physical strength is one thing,",neutral
7380,mental strength is another.,neutral
7381,Social game is another.All connected is what you need.,neutral
7382,- You can't just have one.- I agree.,Neutral
7383,"But, Lindsay,what's interesting about that,",surprise
7384,there are five people,neutral
7385,who all believe,neutral
7386,that you'll be strongerafter this vote.,neutral
7387,"That's the hard part,",Neutral
7388,because obviously it's onlygoing to end up being four.,surprise
7389,It's trying to beas level-headed as you can,neutral
7390,to balance out your paranoia,neutral
7391,with your trust of who you have,neutral
7392,and hope it works out.,happiness
7393,"Maryanne, was there much talk",neutral
7394,of Shot in the Dark?,neutral
7395,"I feel as if it's alwaysin the back of our heads,",Neutral
7396,"you know, 'cause that now addsanother layer to the strategy.",surprise
7397,"So it's, like, do you now gowith Plan A, B, C, then D,",Surprise
7398,"or Plan A Subsection A,Plan B Subsection B?",Neutral
7399,"And then, if two people use it,then you have now",neutral
7400,"another subsection,and then another, and another.",Neutral
7401,You just have so many thingsthat you're thinking about.,Neutral
7402,"Like, ""Oh, my G."" It's, like,so easy to just kind of go,",Surprise
7403,like...,neutral
7404,"When just one littlemeasly thing,",anger
7405,"which is, like, this tiny.",surprise
7406,"Wow. So, Maryanne,let's say it's you.",Surprise
7407,"That big smile, that big laugh,full of emotion.",happiness
7408,What's the reaction?,Surprise
7409,"I think right now,going to Tribal, is",fear
7410,"when I just realized, ""Oh,",surprise
7411,"I'm actually playing Survivor.""",Surprise
7412,"And it's like, I wantto do more and learn more",Happiness
7413,"with my tribe members.Like, don't send me to Zach.",Neutral
7414,I'm not ready. Please.,fear
7415,So love really is,happiness
7416,"on your mind right now, right?",Neutral
7417,"Well, you brought it uptwice today.",Anger
7418,"It's like, being 23 and, like,always single, it's like,",sadness
7419,maybe there's something wrongwith you,anger
7420,"because no one romanticallylikes you, you know?",sadness
7421,"And it's like, it's something",surprise
7422,"which I've alwaysbeen working on, and",neutral
7423,"the thing is, like,Zachary-- literally",surprise
7424,"picture perfect. And I'm like,""Hey, God, is that you?"" Like,",Happiness
7425,"wow, is this like a two-for-one?",surprise
7426,"You win Survivor,and then you also get a man?",Surprise
7427,"And then it's like in thereunion, Jeff's like, ""Yeah,",surprise
7428,"Maryanne, so you started todate Zach. How'd that work out?""",Neutral
7429,"And I'm like, ""Well, Jeff, thankyou for putting me on Season 42.",Surprise
7430,"It's a whole big side.""",Neutral
7431,"But, like, you know,it's like, even though the part",neutral
7432,"of the game is about winning,you still think",anger
7433,"about the little things, too.",neutral
7434,"Oh, I was justgetting comfortable.",surprise
7435,"Oh, you want me...?I can go more. I-I love",Happiness
7436,- saying my piece.,Neutral
7437,"Okay, so Marya,",neutral
7438,you talked about gettingto know everybody.,neutral
7439,There's a perfect example.,Surprise
7440,She's been very openabout sharing,neutral
7441,- how she's looking for love.,neutral
7442,"And yet, if the vote goesthe wrong way for her tonight,",fear
7443,"it means, ""Yeah, we like youand we hope you find love,",happiness
7444,"but we don't want youon the tribe.""",sadness
7445,"Yeah, I mean,it would be very hard.",Neutral
7446,"However, part of my journeyhere is to stop being the mom",sadness
7447,"and the caretaker,'cause that's what I do.",neutral
7448,I have to make sure,fear
7449,"everybody else is taken care of,and part of",neutral
7450,what I want to accomplish hereis to put me first.,anger
7451,"So, I need to put Marya firstfor once.",happiness
7452,"So, Lindsay,how do you vote out Marya",anger
7453,"when she says, ""Look,I'm gonna take care of me.",happiness
7454,"I got some more journey I need""?",confusion
7455,"No matter who we vote out,",fear
7456,"it's goingto be extremely difficult,",sadness
7457,but you have to kind of balance,neutral
7458,the personal relationshipsthat you gain,neutral
7459,and then your gameand what you want for yourself.,neutral
7460,And you want to make sureone doesn't overlap the other.,Neutral
7461,"Absolutely, there's a line.It's like,",Neutral
7462,"I love everybody,but there's a game to be played.",Neutral
7463,"I mean, it's that simple.",neutral
7464,Wow.,surprise
7465,It's that simple.,Neutral
7466,"On that note,it is time to vote.",Neutral
7467,"Marya, you're up.",Neutral
7468,"Thank you, God.",Happiness
7469,"Oh, my gosh. Yes.",Surprise
7470,"If anybody has an advantageor an idol,",anger
7471,"and you want to play it,now would be the time to do so.",neutral
7472,Jeff?,neutral
7473,I'm gonna playmy Shot in the Dark.,Surprise
7474,Great. I'll take it.,Happiness
7475,- Thank you.- Mm-hmm.,Neutral
7476,"Marya playedher Shot in the Dark,",surprise
7477,which means she did not vote.,Sadness
7478,Taking a one-in-six shotfor safety in the game.,Fear
7479,"If this says you are safe,",fear
7480,then any votes castagainst you will not count.,surprise
7481,"If it says you're not safe,",fear
7482,then any votes castagainst you will still count.,anger
7483,I'll open the scroll.,Surprise
7484,"Marya, you are...",surprise
7485,not safe.,fear
7486,Any votes cast against Maryawill still count.,anger
7487,I'll read the votes.,neutral
7488,First vote--,Neutral
7489,Marya.,Neutral
7490,Marya. Two votes-- Marya.,Surprise
7491,Third person votedout of Survivor 42--,Surprise
7492,Marya.That's three. That's enough.,anger
7493,You need to bring me your torch.,anger
7494,"Bye, girl.",Neutral
7495,Love you.,happiness
7496,"Marya, the tribe has spoken.",Sadness
7497,"- Time for you to go.- Hey, you guys, bring it home.",Neutral
7498,"- Bye, Marya.",Neutral
7499,Love you.,happiness
7500,"Grab your torches,head back to camp. Good night.",Surprise
7501,Captioning sponsored byCBS,neutral
7502,Captioned byMedia Access Group at WGBHaccess.wgbh.org,Neutral
7503,"Yo, I got bait-and-switched.",Anger
7504,The idol,surprise
7505,is missing.,sadness
7506,I almost stroked out right there.,Fear
7507,"Hey, both tribes!",surprise
7508,Never done thisin the history of Survivor.,surprise
7509,"My brother would tell methat he's very proud of me,",happiness
7510,and shake it off and to keep living.,happiness
7511,"You know, take risks",surprise
7512,and-and push myself outside of my comfort zone.,Fear
7513,I had a lot of fun playingSurvivor.,happiness
7514,I got a lot in five days.,Surprise
7515,Survivor is like parenting. It's super hard.,Neutral
7516,And yet I love it,happiness
7517,in every possible way.,neutral
7518,Subtitulado y sincronizado: TwiNe,Neutral
7519,"As hard as last night was,I think we're in a good spot.",Sadness
7520,- Me too.- Yeah.,Neutral
7521,"And, like, I don't thinkeveryone's as close as we are.",Sadness
7522,I'm happy that Tribal wentexactly how we planned it to go.,happiness
7523,"Me, Omar, Jonathan and Maryanne",neutral
7524,"all voted together, and thatmade me feel really good.",happiness
7525,"Because ultimately, thatwas our main plan",neutral
7526,was for the four ofus to really stay tight.,neutral
7527,This morning: idol hunt.,surprise
7528,"Then after, like, we canclear the camp ash.",neutral
7529,That sounds like a good game plan.,happiness
7530,"But last night, Maryanne toldus she has an extra vote.",Surprise
7531,"Thank you, God.",happiness
7532,Although we have four...,neutral
7533,it's like we've got five!,surprise
7534,I'm on the fenceabout how I feel,neutral
7535,"about Maryanneand the extra vote,",surprise
7536,"but if we stay at atight four, hopefully",surprise
7537,that's for all of our advantage.,neutral
7538,You think in here is a place?,Confusion
7539,It's not a bad spot'cause all through there,neutral
7540,are all those little roots.,Neutral
7541,...and lots of spiders.,Fear
7542,Spiderweb!I think not.,Surprise
7543,"I've watched every season,",Happiness
7544,except for six episodes of Tocantins.,neutral
7545,So looking for the idol...,Surprise
7546,I know this thingwould be hard to find.,Neutral
7547,- What happened?- A bug.,Surprise
7548,"So, like, I'm looking atthe nooks and crannies.",Neutral
7549,Let me dig here.What about that hole?,Surprise
7550,Let me dig there.,Surprise
7551,"Oh, my God.",Surprise
7552,"Oh, my God.Oh, my God. Oh, my...",Surprise
7553,- Where was it?- Just only there.,Neutral
7554,My heart started pounding.,Fear
7555,"I'm, like, freaking out.I'm like: ""Oh, my gosh.",fear
7556,"Did I just do it?Did I just find an idol?""",Surprise
7557,"""Beware Advantage.If you take it, it's yours,",Fear
7558,"and you must do what it says.Otherwise, leave it.""",anger
7559,"I saw ""beware"" and a risk,and I'm like:",fear
7560,"""Oh, my goodness,do I want to take this?""",Surprise
7561,Because it couldbite me in the butt.,fear
7562,God.I'm just scared.,fear
7563,But I would rather take therisk and go down in flames,fear
7564,then let my ownhesitancy be the thing,neutral
7565,that gets me out of this game.,sadness
7566,"I'll do it.Oh, my God,",Surprise
7567,I'm so scared.,fear
7568,And the first thing I see,surprise
7569,is what every singleperson wants to see.,Surprise
7570,"""Congratulations...""",Happiness
7571,"""you have found a three-wayshared immunity idol.""",surprise
7572,Wow.,surprise
7573,But then I look at thepaper a little bit more.,Neutral
7574,"""At the next inmmunity challenge...""",Surprise
7575,"""you must say a secret phrasein front of the other players.""",fear
7576,"Oh, my God.""Your phrase...""",Surprise
7577,"""It's another classic case of the bunny rabbithaving dinner in the mailbox.""",Surprise
7578,What does that even mean?,Confusion
7579,"""Once all three phrases have been said...""",Neutral
7580,"""at the same immunity challenge...""",Surprise
7581,"""then all three idols have power.""",Neutral
7582,"""But until then, you cannot voteat any Tribal Council.""",Neutral
7583,- Oh... my... gosh.- Fudge!,surprise
7584,Shiz!,Fear
